epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
115,0.14161317,0.8760398,0.7817708,0.18852736,0.8383047,0.69214714
116,0.14116667,0.8762249,0.78200006,0.19128421,0.8415108,0.6949867
117,0.14019027,0.87640584,0.78196937,0.18624274,0.84469014,0.6981088
118,0.14132753,0.87658376,0.78193396,0.18076889,0.8477472,0.7010811
119,0.14096765,0.8767613,0.7819346,0.17556022,0.8507172,0.70361555
120,0.1407522,0.8769361,0.7816505,0.17621508,0.8536954,0.7065279
121,0.14061916,0.877114,0.7817598,0.17582974,0.85666496,0.70907515
122,0.14009428,0.8772936,0.7821997,0.1718252,0.85956556,0.7114276
123,0.13920832,0.877474,0.7832145,0.16587856,0.86234456,0.7137457
124,0.13963822,0.87765324,0.7838346,0.16616258,0.8650297,0.7165554
125,0.13975331,0.877833,0.78411186,0.16254017,0.86763847,0.71895516
126,0.13906752,0.87801373,0.7842947,0.15823713,0.8702022,0.7214552
127,0.1383597,0.8781959,0.78429884,0.15400484,0.87277764,0.7239424
128,0.13810024,0.87837946,0.783986,0.15175797,0.87531674,0.72650224
129,0.13801055,0.8785632,0.7839752,0.155825,0.87780744,0.72903615
130,0.13820402,0.8787471,0.78395784,0.14979102,0.88021356,0.73169696
131,0.13803522,0.87892836,0.7837386,0.14679004,0.8825693,0.7340269
132,0.13774906,0.87910795,0.78357935,0.14538386,0.8848733,0.7360712
133,0.13693286,0.87928724,0.78345996,0.1412414,0.8871229,0.7383299
134,0.13726576,0.8794713,0.78357875,0.14081368,0.88931066,0.7405292
135,0.13682452,0.8796568,0.78397095,0.14288637,0.8915083,0.74329436
136,0.13670734,0.879842,0.7839924,0.1334739,0.89364004,0.74615186
137,0.13611406,0.8800257,0.7845451,0.13464765,0.89568824,0.74864703
138,0.1364791,0.8802055,0.7848972,0.12973157,0.8976601,0.7507601
139,0.13627069,0.8803837,0.7851648,0.13121162,0.89965504,0.75257814
140,0.13628094,0.88056123,0.7851413,0.1262047,0.9015768,0.75403726
141,0.13582698,0.8807395,0.7855092,0.1274097,0.90340745,0.7558613
142,0.13534647,0.8809164,0.78585845,0.12326374,0.9051832,0.758212
143,0.13529359,0.8810891,0.7861438,0.12337146,0.9069802,0.76069653
144,0.13448828,0.8812639,0.7860753,0.12272432,0.90870607,0.76308787
145,0.13476726,0.8814416,0.7859148,0.11972189,0.9105207,0.7655375
146,0.1344267,0.88161886,0.7855574,0.11666173,0.91224784,0.7677346
147,0.1343697,0.8817934,0.78507674,0.11626084,0.9139654,0.7691293
148,0.13395259,0.8819643,0.78515416,0.11263498,0.91557837,0.77016366
