design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s510,1,total_negative_slack_ns,192,0.1274932622909546,0.26139938831329346,0.2829711437225342,-1.1210310459136963,-0.16986100375652313,-0.46743717789649963,-0.5664172768592834,-0.09898009151220322
s349,1,total_negative_slack_ns,192,0.1651814579963684,0.27419114112854004,0.32364821434020996,-1.09579598903656,-0.07422400265932083,-0.5136720538139343,-0.501336395740509,0.012335628271102905
s420,3,total_negative_slack_ns,192,0.17147570848464966,0.2961979806423187,0.3288361430168152,-1.1098300218582153,-0.17401200532913208,-0.516645610332489,-0.5828365683555603,-0.06619089841842651
s1196,1,total_negative_slack_ns,192,0.19717586040496826,0.13798435032367706,0.1817234307527542,-0.8009690046310425,-0.015194999985396862,-0.21612058579921722,-0.18614284694194794,0.02997773326933384
systemcdes,2,worst_slack_ns,192,-494.2489013671875,1.1850999593734741,1.186495065689087,-0.19953599572181702,-0.02419699914753437,-0.10393150895833969,1.081168532371521,1.1850999593734741
ss_pcm,3,worst_slack_ns,192,-285.4381103515625,0.6091336607933044,0.6103955507278442,-0.1350490003824234,-0.02133299969136715,-0.06501919776201248,-0.6741528511047363,-0.6091336607933044
i2c,2,worst_slack_ns,192,-213.9552764892578,0.5548405647277832,0.5565453171730042,-0.14041699469089508,-0.012420999817550182,-0.06348371505737305,0.49135684967041016,0.5548405647277832
usb_phy,1,worst_slack_ns,192,-29.69872283935547,0.18294622004032135,0.18603287637233734,-0.13095299899578094,-0.027442999184131622,-0.06421364098787308,-0.24715988337993622,-0.18294622004032135
s38417,3,worst_slack_ns,192,-18.416397094726562,0.14741353690624237,0.15192840993404388,-0.13478299975395203,-0.007984999567270279,-0.052268367260694504,-0.19968189299106598,-0.14741353690624237
s5378,3,worst_slack_ns,192,-9.684115409851074,0.05000727251172066,0.05362030491232872,-0.07589499652385712,-0.012528999708592892,-0.0359039343893528,-0.08591121435165405,-0.05000727251172066
