design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
s420,,total_negative_slack_ns,,0.1311237270909374,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s420,3.0,total_negative_slack_ns,288.0,-0.7142388820648193,1.5947856903076172,2.1898534297943115,-4.480721950531006,0.0,-1.081291913986206,-0.5134614109992981,0.5678303241729736,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s420,3.0,total_negative_slack_ns,288.0,-1.434788465499878,1.89621376991272,2.609816551208496,-4.480721950531006,0.0,-1.081291913986206,-2.8709871768951416,-1.7896952629089355,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s444,,total_negative_slack_ns,,-1.9502776598503164,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s444,2.0,total_negative_slack_ns,288.0,-5.466404914855957,3.511647701263428,4.23119592666626,-4.594910144805908,0.0,-0.8916535973548889,2.619994163513184,3.511647701263428,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s444,2.0,total_negative_slack_ns,288.0,-1.739809513092041,2.106985092163086,2.75417709350586,-4.594910144805908,0.0,-0.8916535973548889,-2.6041371822357178,-1.7124834060668943,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s510,,total_negative_slack_ns,,-13.75932704626553,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s510,1.0,total_negative_slack_ns,288.0,-5.271013259887695,2.959977388381958,3.192625045776367,-3.521289110183716,0.0,-0.8304376602172852,-3.2179617881774902,-2.387524366378784,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s510,1.0,total_negative_slack_ns,288.0,-8.46145248413086,2.543388843536377,3.921551465988159,-3.521289110183716,0.0,-0.8304376602172852,-2.620938301086426,-1.7905008792877195,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s526,,total_negative_slack_ns,,-146.5081977905152,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s526,5.0,total_negative_slack_ns,288.0,-0.6315728425979614,1.6927849054336548,2.1257669925689697,-4.650142192840576,0.0,-0.8880174160003662,-0.8965663909912109,-0.0085491072386503,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s526,5.0,total_negative_slack_ns,288.0,-0.0949257612228393,1.507254719734192,1.7414250373840332,-4.650142192840576,0.0,-0.8880174160003662,-1.965169668197632,-1.0771522521972656,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
