design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
s298,3,total_negative_slack_ns,288,-0.4835081100463867,1.0857036113739014,1.3819397687911987,-3.157489061355591,0.0,-0.5928377509117126,-1.6094133853912354,-1.0165756940841677,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s344,2,total_negative_slack_ns,288,-6.740358829498291,3.871402263641357,4.490087032318115,-4.482790946960449,0.0,-0.950855016708374,2.9205472469329834,3.871402263641357,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s344,2,total_negative_slack_ns,288,-1.6707348823547363,2.227168083190918,2.6374826431274414,-4.482790946960449,0.0,-0.950855016708374,-1.3466036319732666,-0.3957487642765045,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s349,1,total_negative_slack_ns,288,-3.2291064262390137,3.081639289855957,3.762029409408569,-4.973042011260986,0.0,-1.0988430976867676,1.9827961921691892,3.081639289855957,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s349,1,total_negative_slack_ns,288,0.6036159992218018,0.8829731345176697,1.15174400806427,-4.973042011260986,0.0,-1.0988430976867676,-1.8526573181152344,-0.7538142204284668,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s35932,5,total_negative_slack_ns,288,-0.1138874292373657,94.42528533935548,147.9575958251953,-438.6055908203125,0.0,-88.74264526367188,-35.311729431152344,53.43092346191406,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s35932,5,total_negative_slack_ns,288,0.9373592734336852,23.78990364074707,35.08689498901367,-438.6055908203125,0.0,-88.74264526367188,-94.08916473388672,-5.346516132354736,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s382,4,total_negative_slack_ns,288,-0.3758221864700317,1.164966344833374,2.05109977722168,-4.823084831237793,0.0,-0.9624850749969482,0.0877615511417388,1.0502467155456543,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s382,4,total_negative_slack_ns,288,0.5122718811035156,0.956973910331726,1.2212218046188354,-4.823084831237793,0.0,-0.9624850749969482,-1.8797537088394165,-0.9172685146331788,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s38417,3,total_negative_slack_ns,288,-0.3454694747924804,131.84625244140625,210.96804809570312,-513.5249633789062,0.0,-134.61981201171875,-23.84132194519043,110.77848815917967,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
